item_sno,name,image,material,effect
TH0T10jw4IJl7DzKeZXUC,댕댕포유 애견 실타래 치실토이 장난감 터그놀이,https://shopping-phinf.pstatic.net/main_8453635/84536352637.1.jpg?type=f140,,"치석케어, 두뇌개발, 분리불안해소"
TdKmc4ioS7q7nBSrnrQ8R,커피츄 강아지 간식 커피나무 1개,https://shopping-phinf.pstatic.net/main_2655968/26559681833.20220108005637.jpg?type=f140,원목,"치석케어, 분리불안해소"
Tb444GrjD297B80Nx4eGO,르케 강아지 노즈워크 장난감 실리콘 매트,https://shopping-phinf.pstatic.net/main_8362206/83622066268.1.jpg?type=f140,고무/실리콘,"간식넣는, 두뇌개발, 분리불안해소"
Tc0iA2Xz4LDvYTz85TN3p,강아지 노즈워크 문어 장난감,https://shopping-phinf.pstatic.net/main_8454441/84544416893.1.jpg?type=f140,폴리에스테르,"간식넣는, 흥미유발, 분리불안해소"
Tf0homt8lqg4f0sJwy16f,두뇌 자극 반려견 노즈워크 무소음 장난감,https://shopping-phinf.pstatic.net/main_8440780/84407806812.jpg?type=f140,고무/실리콘,"간식넣는, 두뇌개발, 분리불안해소"
T35MW7e278r34vdfxmzu9,강아지장난감 흥미유발 뼈다귀실타래,https://shopping-phinf.pstatic.net/main_1176538/11765381481.1.jpg?type=f140,고무/실리콘,"간식넣는, 치석케어, 분리불안해소"
Tlzz4mdfpk0Ei3UVFUYA3,바잇미 개리보 반려동물 젤리곰 장난감 삑삑,https://shopping-phinf.pstatic.net/main_2406991/24069910373.20200907170727.jpg?type=f140,폴리에스테르,"소리나는, 흥미유발, 분리불안해소"
TAs90fc4y2fr3nQo5kDm0,강아지 이갈이 반려견 교육용 치석제거 장난감,https://shopping-phinf.pstatic.net/main_8468937/84689371362.jpg?type=f140,,"소리나는, 물에뜨는, 치석케어"
TLCdu7lhVJb8CR7NkuXXK,베네본 위시본 덴탈츄 치석제거 덴탈장난감,https://shopping-phinf.pstatic.net/main_8429715/84297152354.1.jpg?type=f140,고무/실리콘,"치석케어, 흥미유발, 분리불안해소"
TmqQVpY3T2J3uja7urjx4,강아지 장난감 린넨 청둥오리,https://shopping-phinf.pstatic.net/main_8370365/83703658301.jpg?type=f140,식물추출물,"소리나는, 흥미유발, 분리불안해소"
TsT75h9IV530drOI6Ch6A,나이스 강아지 터그놀이 장난감 6종세트 실타래 애견 노즈워크 치석제거 로프 공,https://shopping-phinf.pstatic.net/main_8420065/84200659265.jpg?type=f140,실/끈,"간식넣는, 두뇌개발, 흥미유발"
Tm5Qvqh34vA1zco7SR9AB,PETCA 강아지 장난감 터그놀이 삑삑이 이갈이 강아지장난감인형 A TYPE,https://shopping-phinf.pstatic.net/main_8392858/83928585160.1.jpg?type=f140,합성섬유,"소리나는, 흥미유발, 분리불안해소"
TUGa0UZJrml92q2UA8m4j,어답트미 댕댕약국 강아지 노즈워크 장난감 5종 세트,https://shopping-phinf.pstatic.net/main_8418491/84184912099.2.jpg?type=f140,,"간식넣는, 두뇌개발, 분리불안해소"
To1f9ewxhtG1yazwwLn31,비나츄 XS 100% 커피 나무 우드스틱 강아지 장난감 이갈이 간식 도그 개껌,https://shopping-phinf.pstatic.net/main_8285884/82858840095.19.jpg?type=f140,원목,"치석케어, 흥미유발, 분리불안해소"
